timestamp,run_id,baseline,trainer,feature_view,train_accuracy,val_accuracy,test_accuracy,train_loss,val_loss,test_loss,val_logloss,test_logloss,epochs_trained,seasons,dataset_label,notes
2025-11-20T04:55:01.493971+00:00,20251027-061222,market_gradient_boost,xgboost,Market odds derived statistics,0.7616959064327485,0.5526315789473685,0.5877192982456141,0.6636301279067993,0.913787305355072,0.876745879650116,0.913787305355072,0.876745879650116,49,2024,Dataset_V1,
2025-11-20T04:55:01.493971+00:00,20251027-061222,momentum_policy_rl,reinforce,Momentum-policy REINFORCE agent leveraging short-horizon trends,0.5394736842105263,0.5087719298245614,0.5131578947368421,2.194887399673462,2.551751136779785,2.2089595794677734,2.551751136779785,2.2089595794677734,60,2024,Dataset_V1,
2025-11-20T04:55:01.493971+00:00,20251027-061222,performance_dense,keras,Performance-based dense network using smoothed per-match aggregates,0.4634502923976608,0.5175438596491229,0.5263157894736842,1.0354089736938477,1.0354763269424438,1.060124754905701,1.0354763269424438,1.060124754905701,10,2024,Dataset_V1,
2025-11-20T05:04:39.423153+00:00,20251120-050014,market_gradient_boost,xgboost,Market odds derived statistics,0.7616959064327485,0.5526315789473685,0.5877192982456141,0.6636301279067993,0.913787305355072,0.876745879650116,0.913787305355072,0.876745879650116,49,2024,Dataset_V2,
2025-11-20T05:04:39.423153+00:00,20251120-050014,momentum_policy_rl,reinforce,Momentum-policy REINFORCE agent leveraging short-horizon trends,0.4766081871345029,0.4342105263157895,0.3771929824561403,2.679901599884033,3.0307445526123047,2.8008859157562256,3.0307445526123047,2.8008859157562256,60,2024,Dataset_V2,
2025-11-20T05:04:39.423153+00:00,20251120-050014,performance_dense,keras,Performance-based dense network using smoothed per-match aggregates,0.4634502923976608,0.5175438596491229,0.5263157894736842,1.0354089736938477,1.0354763269424438,1.060124754905701,1.0354763269424438,1.060124754905701,10,2024,Dataset_V2,
2025-11-20T05:20:03.499880+00:00,20251120-051721,market_gradient_boost,xgboost,Market odds derived statistics,0.77046783625731,0.5745614035087719,0.5570175438596491,0.6448885202407837,0.8926783800125122,0.8750607967376709,0.8926783800125122,0.8750607967376709,48,2024,V3,
2025-11-20T05:20:03.499880+00:00,20251120-051721,momentum_policy_rl,reinforce,Momentum-policy REINFORCE agent leveraging short-horizon trends,0.5,0.5175438596491229,0.5263157894736842,1.4636783599853516,1.5889205932617188,1.4458999633789062,1.5889205932617188,1.4458999633789062,60,2024,V3,
2025-11-20T05:20:03.499880+00:00,20251120-051721,performance_dense,keras,Performance-based dense network using smoothed per-match aggregates,0.6885964912280702,0.5833333333333334,0.5745614035087719,0.7875714302062988,0.9229812622070312,0.894499659538269,0.9229812622070312,0.894499659538269,28,2024,V3,
2025-11-20T05:23:40.245991+00:00,20251120-052142,market_gradient_boost,xgboost,Market odds derived statistics,0.8055555555555556,0.5482456140350878,0.5614035087719298,0.5864640474319458,0.8974592685699463,0.8790526986122131,0.8974592685699463,0.8790526986122131,66,2024,Dataset_Version_4,
2025-11-20T05:23:40.245991+00:00,20251120-052142,momentum_policy_rl,reinforce,Momentum-policy REINFORCE agent leveraging short-horizon trends,0.4868421052631579,0.4868421052631579,0.4868421052631579,1.3711622953414917,1.5159363746643066,1.397711992263794,1.5159363746643066,1.397711992263794,60,2024,Dataset_Version_4,
2025-11-20T05:23:40.245991+00:00,20251120-052142,performance_dense,keras,Performance-based dense network using smoothed per-match aggregates,0.6929824561403509,0.5219298245614035,0.5043859649122807,0.7902348637580872,0.9730504155158995,1.1061240434646606,0.9730504155158995,1.1061240434646606,28,2024,Dataset_Version_4,
2025-11-20T05:31:59.780923+00:00,20251120-052837,market_gradient_boost,xgboost,Market odds derived statistics,0.8055555555555556,0.5482456140350878,0.5614035087719298,0.5864640474319458,0.8974592685699463,0.8790526986122131,0.8974592685699463,0.8790526986122131,66,2024,Dataset_Version_5,
2025-11-20T05:31:59.780923+00:00,20251120-052837,momentum_policy_rl,reinforce,Momentum-policy REINFORCE agent leveraging short-horizon trends,0.4868421052631579,0.4868421052631579,0.4868421052631579,1.3711622953414917,1.5159363746643066,1.397711992263794,1.5159363746643066,1.397711992263794,60,2024,Dataset_Version_5,
2025-11-20T05:31:59.780923+00:00,20251120-052837,performance_dense,keras,Performance-based dense network using smoothed per-match aggregates,0.6929824561403509,0.5219298245614035,0.5043859649122807,0.7902348637580872,0.9730504155158995,1.1061240434646606,0.9730504155158995,1.1061240434646606,28,2024,Dataset_Version_5,
2025-11-20T05:35:34.220469+00:00,20251120-053353,market_gradient_boost,xgboost,Market odds derived statistics,0.7336538461538461,0.5666666666666667,0.6833333333333333,0.6724750995635986,0.915216863155365,0.8425701260566711,0.915216863155365,0.8425701260566711,55,2025,Dataset_Version_6,
2025-11-20T05:35:34.220469+00:00,20251120-053353,momentum_policy_rl,reinforce,Momentum-policy REINFORCE agent leveraging short-horizon trends,0.510576923076923,0.5,0.45,1.8947160243988037,2.1889307498931885,2.0585429668426514,2.1889307498931885,2.0585429668426514,60,2025,Dataset_Version_6,
2025-11-20T05:35:34.220469+00:00,20251120-053353,performance_dense,xgboost,Performance-based dense network using smoothed per-match aggregates,0.7692307692307693,0.4733333333333333,0.4666666666666667,0.7676822543144226,1.0443707704544067,1.0715643167495728,1.0443707704544067,1.0715643167495728,4,2025,Dataset_Version_6,
2025-11-20T05:45:41.226938+00:00,20251120-053742,market_gradient_boost,xgboost,Market odds derived statistics,0.7134615384615385,0.5666666666666667,0.6666666666666666,0.7074931263923645,0.9095086455345154,0.8449185490608215,0.9095086455345154,0.8449185490608215,43,2025,Dataset_Version_7,
2025-11-20T05:45:41.226938+00:00,20251120-053742,momentum_policy_rl,reinforce,Momentum-policy REINFORCE agent leveraging short-horizon trends,0.5548076923076923,0.5066666666666667,0.4833333333333333,1.912158250808716,1.9879631996154783,1.9685312509536743,1.9879631996154783,1.9685312509536743,60,2025,Dataset_Version_7,
2025-11-20T05:45:41.226938+00:00,20251120-053742,performance_dense,xgboost,Performance-based dense network using smoothed per-match aggregates,0.8557692307692307,0.46,0.4333333333333333,0.6094022393226624,1.04054057598114,1.0518072843551636,1.04054057598114,1.0518072843551636,7,2025,Dataset_Version_7,
2025-11-20T18:16:21.078064,20251120-181619,performance_dense,xgboost,Performance-based dense network using smoothed per-match aggregates,0.8596153846153847,0.4666666666666667,0.45,0.6310320496559143,1.0507179498672485,1.0591708421707153,1.0507179498672485,1.0591708421707153,5,2025|2024|2023|2022,Dataset_Version_7,
2025-11-20T18:16:32.138645,20251120-181619,momentum_policy_rl,reinforce,Momentum-policy REINFORCE agent leveraging short-horizon trends,0.5288461538461539,0.54,0.5166666666666667,2.1853723526000977,2.1693594455718994,2.2724852561950684,2.1693594455718994,2.2724852561950684,60,2025|2024|2023|2022,Dataset_Version_7,
2025-11-20T18:16:32.438775,20251120-181619,market_gradient_boost,xgboost,Market odds derived statistics,0.7230769230769231,0.5666666666666667,0.6666666666666666,0.6794254779815674,0.9032188057899475,0.8568599224090576,0.9032188057899475,0.8568599224090576,51,2025|2024|2023|2022,Dataset_Version_7,
